Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                  34",6.890177215142e-01,2.744443365736e-01,-6.711312577998e-02,8.009423746101e-01,2.675029054643e-01,-6.929100462930e-02,1.119246530959e-01,-6.941431109321e-03,-2.177878849320e-03
"                  35",6.822507968406e-01,2.592094846768e-01,7.156128903203e-02,7.935711378017e-01,2.523661786620e-01,6.944310662105e-02,1.113203409611e-01,-6.843306014801e-03,-2.118182410986e-03
"                  36",6.694874865264e-01,2.477135756995e-01,1.597673368495e-01,7.801660839814e-01,2.408928059575e-01,1.577518881458e-01,1.106785974550e-01,-6.820769741973e-03,-2.015448703696e-03
"                  37",6.546699312825e-01,2.407494640737e-01,1.143942319515e-01,7.646144990521e-01,2.338570661607e-01,1.124882808982e-01,1.099445677696e-01,-6.892397913095e-03,-1.905951053273e-03
"                  38",6.431276098670e-01,2.347321318616e-01,-1.040075271320e-02,7.522312109560e-01,2.276787860942e-01,-1.226286279674e-02,1.091036010890e-01,-7.053345767371e-03,-1.862110083533e-03
"                  39",6.414644637125e-01,2.331909393250e-01,-9.455328841205e-02,7.496991532584e-01,2.259526254414e-01,-9.641020973138e-02,1.082346895458e-01,-7.238313883576e-03,-1.856921319335e-03
"                  40",6.464562261363e-01,2.282787949381e-01,-2.501738829063e-02,7.539199924494e-01,2.209244854314e-01,-2.689048630138e-02,1.074637663131e-01,-7.354309506739e-03,-1.873098010746e-03
"                  41",6.475468381395e-01,2.180593653925e-01,2.953060231665e-02,7.546396164465e-01,2.106044308762e-01,2.767079613241e-02,1.070927783070e-01,-7.454934516255e-03,-1.859806184234e-03
"                  42",6.520206837141e-01,2.107901879285e-01,2.686947478733e-01,7.587806559837e-01,2.032739483650e-01,2.668990895756e-01,1.067599722696e-01,-7.516239563574e-03,-1.795658297685e-03
"                  43",6.490629003027e-01,1.987298658786e-01,4.970011340290e-01,7.556065211709e-01,1.911470631704e-01,4.953392677523e-01,1.065436208682e-01,-7.582802708253e-03,-1.661866276713e-03
"                  44",6.386664955529e-01,1.853843506417e-01,5.879285344727e-01,7.448316854755e-01,1.776106541690e-01,5.864425607361e-01,1.061651899227e-01,-7.773696472767e-03,-1.485973736559e-03
"                  45",6.324215033073e-01,1.775429383104e-01,5.654265490620e-01,7.381170054226e-01,1.694325215146e-01,5.640979185290e-01,1.056955021153e-01,-8.110416795728e-03,-1.328630532979e-03
"                  46",6.317812492182e-01,1.801436462408e-01,3.057819940859e-01,7.371379284312e-01,1.716259680961e-01,3.045309853876e-01,1.053566792130e-01,-8.517678144703e-03,-1.251008698263e-03
"                  47",6.367702629321e-01,1.965478947094e-01,-9.892782480185e-02,7.420407645479e-01,1.877249092588e-01,-1.002177148065e-01,1.052705016159e-01,-8.822985450634e-03,-1.289890004629e-03
"                  48",6.420098316839e-01,2.067023998703e-01,-3.330642168190e-01,7.474851248811e-01,1.977426252876e-01,-3.344814931783e-01,1.054752931972e-01,-8.959774582666e-03,-1.417276359289e-03
"                  49",6.448428602772e-01,2.045777082712e-01,-3.737382423363e-01,7.507273681429e-01,1.955844560521e-01,-3.752914511669e-01,1.058845078657e-01,-8.993252219073e-03,-1.553208830611e-03
"                  50",6.443175904468e-01,2.002571760028e-01,-2.850420103796e-01,7.506975788440e-01,1.912771516140e-01,-2.866851239817e-01,1.063799883973e-01,-8.980024388804e-03,-1.643113602074e-03
"                  51",6.415536612269e-01,1.973062168661e-01,-1.294920509215e-01,7.483774334069e-01,1.883528657488e-01,-1.311574505993e-01,1.068237721800e-01,-8.953351117332e-03,-1.665399677826e-03
"                  52",6.392913476121e-01,1.946974292789e-01,4.966440351880e-02,7.464704696218e-01,1.857581218547e-01,4.803751953265e-02,1.071791220098e-01,-8.939307424175e-03,-1.626883986153e-03
"                  53",6.379529651430e-01,1.936629058257e-01,1.368467951378e-01,7.454246013892e-01,1.846907238037e-01,1.352992662435e-01,1.074716362461e-01,-8.972182021949e-03,-1.547528894358e-03
"                  54",6.393245175196e-01,1.964149233544e-01,1.661353942588e-01,7.470598093108e-01,1.873779106805e-01,1.646773251827e-01,1.077352917912e-01,-9.037012673829e-03,-1.458069076091e-03
"                  55",6.390351721486e-01,2.008498736173e-01,1.328620577346e-01,7.470413905256e-01,1.917608220197e-01,1.314851500185e-01,1.080062183770e-01,-9.089051597601e-03,-1.376907716131e-03
"                  56",6.398435002981e-01,2.050181528576e-01,3.989786056128e-02,7.481150897896e-01,1.959141338071e-01,3.858596394372e-02,1.082715894915e-01,-9.104019050585e-03,-1.311896617562e-03
"                  57",6.421745364594e-01,2.040259186102e-01,2.292592781991e-02,7.507593090467e-01,1.949296399746e-01,2.166277044132e-02,1.085847725873e-01,-9.096278635603e-03,-1.263157378593e-03
