Mesh Level,Max Stress (MPa),Min Stress (MPa),Mean Stress (MPa),Std Dev,Factor of Safety,Status
Coarse Mesh,605225000.0,-478387000.0,5895247.895,16874783.158,0.0,FAIL (<1.0)
Medium Mesh,602117000.0,-478490000.0,5510805.684,15658540.0,0.0,FAIL (<1.0)
Fine Mesh,569997000.0,-442478000.0,5106044.584,13770787.369,0.0,FAIL (<1.0)
Correction,1784080000.0,-1426540000.0,6762106.537,21703815.79,0.0,FAIL (<1.0)
Advanced,618634.0,-543300.0,2120.728,8803.551,0.0,FAIL (<1.0)
