Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                  20",-2.555725403491e+00,-2.117836906538e+01,2.422328271385e+02,-2.427829176944e+00,-2.132504437525e+01,2.587543404424e+02,1.278962265471e-01,-1.466753098662e-01,1.652151330384e+01
"                  21",-6.842417538313e+00,-1.277980325439e+01,2.380152558388e+02,-6.720197180207e+00,-1.288882753874e+01,2.530759957744e+02,1.222203581056e-01,-1.090242843460e-01,1.506073993557e+01
"                  22",-7.578693535099e+00,-9.918569861230e+00,2.352520731828e+02,-7.463430910751e+00,-1.000212654435e+01,2.490555192334e+02,1.152626243480e-01,-8.355668311980e-02,1.380344605064e+01
"                  23",-4.735572766507e+00,-1.130445976314e+01,2.288401756710e+02,-4.625568431032e+00,-1.137222339843e+01,2.415845593485e+02,1.100043354753e-01,-6.776363528905e-02,1.274438367747e+01
"                  24",-1.128117358143e+00,-1.756616663302e+01,2.171670702469e+02,-1.017294837999e+00,-1.762785203376e+01,2.290256099975e+02,1.108225201436e-01,-6.168540073580e-02,1.185853975055e+01
"                  25",-1.351794227484e+00,-2.701359421529e+01,2.030655922785e+02,-1.242585144180e+00,-2.707030458942e+01,2.141384977184e+02,1.092090833041e-01,-5.671037412976e-02,1.107290543983e+01
"                  26",-7.116611644563e+00,-3.527363140539e+01,1.927817510839e+02,-7.011308965181e+00,-3.532651209257e+01,2.031266690509e+02,1.053026793815e-01,-5.288068717954e-02,1.034491796697e+01
"                  27",-1.525568234555e+01,-3.663523205719e+01,1.885186226741e+02,-1.515220621724e+01,-3.668400201484e+01,1.982031544704e+02,1.034761283048e-01,-4.876995764918e-02,9.684531796344e+00
"                  28",-1.982427676384e+01,-3.071174157763e+01,1.887212607763e+02,-1.972125211650e+01,-3.075576011525e+01,1.978472878660e+02,1.030246473365e-01,-4.401853761685e-02,9.126027089639e+00
"                  29",-1.911273928915e+01,-2.312052759802e+01,1.880470502238e+02,-1.901126289957e+01,-2.316224355127e+01,1.967381024652e+02,1.014763895835e-01,-4.171595325122e-02,8.691052241421e+00
"                  30",-1.467915903436e+01,-2.002646901340e+01,1.835691843136e+02,-1.457937205806e+01,-2.006849152155e+01,1.919218284495e+02,9.978697630152e-02,-4.202250815526e-02,8.352644135957e+00
"                  31",-1.169371756161e+01,-2.430026065401e+01,1.765870755980e+02,-1.159588769235e+01,-2.434277882534e+01,1.846596973151e+02,9.782986925471e-02,-4.251817133295e-02,8.072621717177e+00
"                  32",-1.156137098810e+01,-3.194051292532e+01,1.690626758006e+02,-1.146670282937e+01,-3.198722590906e+01,1.768621860363e+02,9.466815873044e-02,-4.671298374051e-02,7.799510235703e+00
"                  33",-1.401877496110e+01,-3.729514164424e+01,1.643697839080e+02,-1.392728632923e+01,-3.734968989446e+01,1.718967055894e+02,9.148863186345e-02,-5.454825022064e-02,7.526921681353e+00
"                  34",-1.823671203559e+01,-3.654389179699e+01,1.642263648223e+02,-1.814728999777e+01,-3.660555311143e+01,1.714965224848e+02,8.942203781598e-02,-6.166131443493e-02,7.270157662499e+00
"                  35",-2.133807521842e+01,-3.086983472398e+01,1.660694531474e+02,-2.124924287627e+01,-3.093745576969e+01,1.731342810905e+02,8.883234214964e-02,-6.762104570823e-02,7.064827943138e+00
"                  36",-2.218504727767e+01,-2.448341122163e+01,1.677695781313e+02,-2.209467504610e+01,-2.455444794271e+01,1.746883369937e+02,9.037223157601e-02,-7.103672107705e-02,6.918758862312e+00
"                  37",-2.190953697217e+01,-2.111875235630e+01,1.686785016488e+02,-2.181756932009e+01,-2.119224557912e+01,1.755058031648e+02,9.196765207540e-02,-7.349322281949e-02,6.827301516037e+00
"                  38",-2.039059972343e+01,-2.208329742567e+01,1.672892324169e+02,-2.029545304800e+01,-2.215800801862e+01,1.740603749570e+02,9.514667543755e-02,-7.471059294819e-02,6.771142540099e+00
"                  39",-2.007317877326e+01,-2.632579722655e+01,1.643364085071e+02,-1.997629502473e+01,-2.640322037986e+01,1.710593562837e+02,9.688374853163e-02,-7.742315331212e-02,6.722947776622e+00
"                  40",-2.079269561130e+01,-3.099551109082e+01,1.607800275619e+02,-2.069498414370e+01,-3.107775293320e+01,1.674439702181e+02,9.771146760597e-02,-8.224184237401e-02,6.663942656206e+00
"                  41",-2.122131702210e+01,-3.384035775840e+01,1.578012375959e+02,-2.112479151031e+01,-3.392907289722e+01,1.643953799434e+02,9.652551178481e-02,-8.871513882799e-02,6.594142347520e+00
"                  42",-2.132620439996e+01,-3.363244890177e+01,1.569279132668e+02,-2.123102438129e+01,-3.372802030562e+01,1.634532496575e+02,9.518001867066e-02,-9.557140385388e-02,6.525336390705e+00
"                  43",-2.176304623173e+01,-3.072925775926e+01,1.570196567570e+02,-2.166741374744e+01,-3.083172359743e+01,1.634988745343e+02,9.563248428725e-02,-1.024658381718e-01,6.479217777260e+00
"                  44",-2.276082043508e+01,-2.782032882129e+01,1.576075581062e+02,-2.266278363336e+01,-2.793070993473e+01,1.640606952038e+02,9.803680171643e-02,-1.103811134408e-01,6.453137097595e+00
"                  45",-2.373522974351e+01,-2.652635470237e+01,1.585428280407e+02,-2.363260986029e+01,-2.664219725466e+01,1.649994387368e+02,1.026198832215e-01,-1.158425522979e-01,6.456610696112e+00
"                  46",-2.446683215611e+01,-2.677634537342e+01,1.595569566695e+02,-2.435993700762e+01,-2.689811512518e+01,1.660310156524e+02,1.068951484897e-01,-1.217697517652e-01,6.474058982850e+00
"                  47",-2.450303622813e+01,-2.831937496055e+01,1.592180531055e+02,-2.439369191896e+01,-2.844774671083e+01,1.657233341859e+02,1.093443091654e-01,-1.283717502765e-01,6.505281080420e+00
"                  48",-2.328191319896e+01,-3.052743680999e+01,1.577701795436e+02,-2.317232249611e+01,-3.066260455808e+01,1.643069527587e+02,1.095907028509e-01,-1.351677480852e-01,6.536773215147e+00
"                  49",-2.158067583907e+01,-3.246806927204e+01,1.559287352401e+02,-2.147220888280e+01,-3.261002028235e+01,1.624911226439e+02,1.084669562635e-01,-1.419510103091e-01,6.562387403787e+00
"                  50",-2.007303056012e+01,-3.277608427285e+01,1.543309486444e+02,-1.996568023203e+01,-3.292447212077e+01,1.609114930625e+02,1.073503280916e-01,-1.483878479223e-01,6.580544418082e+00
"                  51",-1.887256667065e+01,-3.181586903048e+01,1.537846780684e+02,-1.876580409963e+01,-3.197121665796e+01,1.603812445644e+02,1.067625710136e-01,-1.553476274790e-01,6.596566495982e+00
"                  52",-1.903150458986e+01,-3.042615586651e+01,1.546694126575e+02,-1.892412015427e+01,-3.058863678690e+01,1.612874868155e+02,1.073844355856e-01,-1.624809203969e-01,6.618074157966e+00
"                  53",-1.970373753060e+01,-2.998397490636e+01,1.556573816082e+02,-1.959582303667e+01,-3.015431634761e+01,1.623066117973e+02,1.079144939334e-01,-1.703414412464e-01,6.649230189074e+00
"                  54",-1.989867651994e+01,-3.027498892107e+01,1.560540259278e+02,-1.979010314712e+01,-3.045183429474e+01,1.627395678112e+02,1.085733728178e-01,-1.768453736701e-01,6.685541883401e+00
"                  55",-1.957927216207e+01,-3.074839504537e+01,1.558766844460e+02,-1.947103729044e+01,-3.093224499571e+01,1.625990243079e+02,1.082348716324e-01,-1.838499503359e-01,6.722339861882e+00
"                  56",-1.938705108178e+01,-3.131539921509e+01,1.552456649096e+02,-1.927951113759e+01,-3.150308341083e+01,1.619975128089e+02,1.075399441905e-01,-1.876841957442e-01,6.751847899381e+00
"                  57",-1.918848990687e+01,-3.144440899292e+01,1.544734153190e+02,-1.908228487356e+01,-3.163433760250e+01,1.612534650047e+02,1.062050333088e-01,-1.899286095725e-01,6.780049685691e+00
"                  58",-1.873973082279e+01,-3.145074520988e+01,1.539850670217e+02,-1.863405188404e+01,-3.164255870361e+01,1.607881988609e+02,1.056789387430e-01,-1.918134937228e-01,6.803131839256e+00
"                  59",-1.798678325194e+01,-3.120540918839e+01,1.540316933135e+02,-1.788197461916e+01,-3.139882633349e+01,1.608602776166e+02,1.048086327763e-01,-1.934171451004e-01,6.828584303122e+00
"                  60",-1.725420197285e+01,-3.096583797143e+01,1.545549798688e+02,-1.714864135268e+01,-3.116188177385e+01,1.614120082413e+02,1.055606201704e-01,-1.960438024249e-01,6.857028372490e+00
"                  61",-1.688117301195e+01,-3.065011584562e+01,1.551468534478e+02,-1.677516706849e+01,-3.084794972668e+01,1.620374837030e+02,1.060059434640e-01,-1.978338810598e-01,6.890630255165e+00
"                  62",-1.697510634885e+01,-3.029233731580e+01,1.554133721392e+02,-1.686875077477e+01,-3.049169100609e+01,1.623372710095e+02,1.063555740806e-01,-1.993536902934e-01,6.923898870250e+00
"                  63",-1.725873754076e+01,-2.987028818547e+01,1.552772700410e+02,-1.715302168504e+01,-3.006993596487e+01,1.622333362535e+02,1.057158557261e-01,-1.996477794025e-01,6.956066212462e+00
"                  64",-1.757041320894e+01,-2.956147971925e+01,1.549261602011e+02,-1.746560280949e+01,-2.976225383605e+01,1.619118339698e+02,1.048103994429e-01,-2.007741167978e-01,6.985673768710e+00
"                  65",-1.787915932555e+01,-2.944107209144e+01,1.546456779276e+02,-1.777645513722e+01,-2.964127011745e+01,1.616572023779e+02,1.027041883346e-01,-2.001980260086e-01,7.011524450352e+00
"                  66",-1.789653568511e+01,-2.948915520437e+01,1.546016008262e+02,-1.779540832223e+01,-2.968893175962e+01,1.616365024758e+02,1.011273628724e-01,-1.997765552495e-01,7.034901649613e+00
"                  67",-1.781206673825e+01,-2.958099092969e+01,1.547825678832e+02,-1.771250148592e+01,-2.977882852945e+01,1.618424011587e+02,9.956525232155e-02,-1.978375997507e-01,7.059833275406e+00
"                  68",-1.762776315580e+01,-2.964854975970e+01,1.550675189450e+02,-1.752888770234e+01,-2.984504674055e+01,1.621521652612e+02,9.887545346655e-02,-1.964969808459e-01,7.084646316158e+00
"                  69",-1.753792186597e+01,-2.935407533574e+01,1.553554092976e+02,-1.743955380112e+01,-2.954792560658e+01,1.624662521246e+02,9.836806484549e-02,-1.938502708431e-01,7.110842827003e+00
"                  70",-1.735758368720e+01,-2.883016217021e+01,1.555727520950e+02,-1.725908899207e+01,-2.902160613710e+01,1.627092332596e+02,9.849469513375e-02,-1.914439668924e-01,7.136481164584e+00
"                  71",-1.689566648294e+01,-2.835720752212e+01,1.556867875500e+02,-1.679770256664e+01,-2.854598087617e+01,1.628489374168e+02,9.796391630558e-02,-1.887733540471e-01,7.162149866826e+00
"                  72",-1.641534777468e+01,-2.812258565423e+01,1.557258821209e+02,-1.631755849555e+01,-2.830938269421e+01,1.629110793375e+02,9.778927912945e-02,-1.867970399883e-01,7.185197216644e+00
"                  73",-1.643331932948e+01,-2.826093482972e+01,1.557529488810e+02,-1.633655779462e+01,-2.844471871296e+01,1.629618512375e+02,9.676153485640e-02,-1.837838832374e-01,7.208902356423e+00
"                  74",-1.689212262422e+01,-2.847156116579e+01,1.558144405231e+02,-1.679639269582e+01,-2.865240673301e+01,1.630470076702e+02,9.572992839271e-02,-1.808455672267e-01,7.232567147141e+00
"                  75",-1.727006855037e+01,-2.846481709898e+01,1.559085814743e+02,-1.717591758824e+01,-2.864214788449e+01,1.631660659446e+02,9.415096213906e-02,-1.773307855112e-01,7.257484470290e+00
"                  76",-1.740317663279e+01,-2.841365001238e+01,1.559996746441e+02,-1.731046545529e+01,-2.858721937309e+01,1.632831124433e+02,9.271117749924e-02,-1.735693607031e-01,7.283437799219e+00
"                  77",-1.754575388977e+01,-2.822547914107e+01,1.560668670137e+02,-1.745470776246e+01,-2.839459135356e+01,1.633773832947e+02,9.104612730980e-02,-1.691122124910e-01,7.310516280982e+00
"                  78",-1.760753121534e+01,-2.809484716005e+01,1.560977988518e+02,-1.751773085355e+01,-2.825995760198e+01,1.634342345729e+02,8.980036178895e-02,-1.651104419349e-01,7.336435721032e+00
"                  79",-1.741028034970e+01,-2.799022932636e+01,1.561016937261e+02,-1.732203056097e+01,-2.815145183428e+01,1.634641668670e+02,8.824978873442e-02,-1.612225079173e-01,7.362473140802e+00
"                  80",-1.693168018683e+01,-2.773173577254e+01,1.560930605519e+02,-1.684439085630e+01,-2.788984606649e+01,1.634794208732e+02,8.728933052196e-02,-1.581102939537e-01,7.386360321349e+00
"                  81",-1.664347391830e+01,-2.730392482440e+01,1.561056493888e+02,-1.655742010064e+01,-2.745933708739e+01,1.635144501936e+02,8.605381765151e-02,-1.554122629875e-01,7.408800804753e+00
"                  82",-1.677582737768e+01,-2.701910229863e+01,1.561644012127e+02,-1.669072410204e+01,-2.717218558274e+01,1.635955823553e+02,8.510327564375e-02,-1.530832841149e-01,7.431181142563e+00
"                  83",-1.706731520035e+01,-2.684993675943e+01,1.562518582307e+02,-1.698348041646e+01,-2.700093248154e+01,1.637048106702e+02,8.383478388885e-02,-1.509957221131e-01,7.452952439538e+00
"                  84",-1.741969629744e+01,-2.679791559737e+01,1.563352919813e+02,-1.733675641822e+01,-2.694713059786e+01,1.638094062519e+02,8.293987921704e-02,-1.492150004957e-01,7.474114270550e+00
"                  85",-1.760978243649e+01,-2.661763400044e+01,1.563993931226e+02,-1.752808363950e+01,-2.676478278869e+01,1.638951048732e+02,8.169879699704e-02,-1.471487882527e-01,7.495711750578e+00
"                  86",-1.755336006028e+01,-2.648459995788e+01,1.564449758108e+02,-1.747241115491e+01,-2.662952240209e+01,1.639609356894e+02,8.094890537781e-02,-1.449224442106e-01,7.515959878662e+00
"                  87",-1.730500688053e+01,-2.628102472252e+01,1.564917281637e+02,-1.722458522971e+01,-2.642353544527e+01,1.640275075488e+02,8.042165081572e-02,-1.425107227525e-01,7.535779385125e+00
"                  88",-1.725635074227e+01,-2.605040878750e+01,1.565443162270e+02,-1.717600724521e+01,-2.619055527495e+01,1.640992080210e+02,8.034349705837e-02,-1.401464874500e-01,7.554891794001e+00
"                  89",-1.739050377623e+01,-2.586779527933e+01,1.565935861293e+02,-1.731051064781e+01,-2.600563974949e+01,1.641663713988e+02,7.999312841536e-02,-1.378444701615e-01,7.572785269511e+00
"                  90",-1.750497380726e+01,-2.579701695702e+01,1.566488528051e+02,-1.742490247978e+01,-2.593244401414e+01,1.642392471569e+02,8.007132747949e-02,-1.354270571224e-01,7.590394351787e+00
"                  91",-1.756328032339e+01,-2.579521983499e+01,1.567102170791e+02,-1.748349227730e+01,-2.592810934719e+01,1.643170511025e+02,7.978804608998e-02,-1.328895121980e-01,7.606834023449e+00
"                  92",-1.762572103159e+01,-2.577795203928e+01,1.567918205013e+02,-1.754580467580e+01,-2.590788294253e+01,1.644151306752e+02,7.991635579270e-02,-1.299309032567e-01,7.623310173936e+00
"                  93",-1.764991332625e+01,-2.551613773160e+01,1.568770932523e+02,-1.757028675790e+01,-2.564289473851e+01,1.645162226539e+02,7.962656834958e-02,-1.267570069119e-01,7.639129401623e+00
"                  94",-1.764384495872e+01,-2.510039375359e+01,1.569673227389e+02,-1.756418291557e+01,-2.522362340530e+01,1.646224664887e+02,7.966204314761e-02,-1.232296517117e-01,7.655143749739e+00
"                  95",-1.749927657593e+01,-2.456271313784e+01,1.570643978424e+02,-1.741983130506e+01,-2.468212921867e+01,1.647356504111e+02,7.944527087011e-02,-1.194160808297e-01,7.671252568787e+00
"                  96",-1.720494653745e+01,-2.425129559197e+01,1.571549711508e+02,-1.712528013289e+01,-2.436676977928e+01,1.648423671071e+02,7.966640456577e-02,-1.154741873059e-01,7.687395956332e+00
"                  97",-1.700215602481e+01,-2.406081736619e+01,1.572419743102e+02,-1.692226885637e+01,-2.417258189185e+01,1.649459442014e+02,7.988716843689e-02,-1.117645256566e-01,7.703969891164e+00
"                  98",-1.701207743735e+01,-2.390638328514e+01,1.573331014194e+02,-1.693154395110e+01,-2.401476740451e+01,1.650534678894e+02,8.053348624738e-02,-1.083841193683e-01,7.720366470054e+00
"                  99",-1.706432273186e+01,-2.358154772658e+01,1.574164660107e+02,-1.698338020913e+01,-2.368684488439e+01,1.651535896309e+02,8.094252272580e-02,-1.052971578138e-01,7.737123620243e+00
"                 100",-1.710064179181e+01,-2.319048284477e+01,1.574971806543e+02,-1.701878762845e+01,-2.329286752459e+01,1.652517234065e+02,8.185416335276e-02,-1.023846798118e-01,7.754542752263e+00
"                 101",-1.702315281576e+01,-2.267578053769e+01,1.575746879256e+02,-1.694068695136e+01,-2.277558846752e+01,1.653465206152e+02,8.246586439440e-02,-9.980792983120e-02,7.771832689630e+00
"                 102",-1.681957140369e+01,-2.227012958490e+01,1.576550112414e+02,-1.673580189288e+01,-2.236725574439e+01,1.654445266551e+02,8.376951081010e-02,-9.712615948379e-02,7.789515413647e+00
"                 103",-1.666327456923e+01,-2.188873580138e+01,1.577316671571e+02,-1.657837780167e+01,-2.198364670253e+01,1.655387765730e+02,8.489676756941e-02,-9.491090115343e-02,7.807109415823e+00
"                 104",-1.674547093443e+01,-2.137432936348e+01,1.578038973839e+02,-1.665887274583e+01,-2.146664964927e+01,1.656281728014e+02,8.659818859032e-02,-9.232028578889e-02,7.824275417596e+00
"                 105",-1.689573565982e+01,-2.098481353121e+01,1.578765182242e+02,-1.680755013121e+01,-2.107498797657e+01,1.657181737054e+02,8.818552861773e-02,-9.017444536292e-02,7.841655481209e+00
"                 106",-1.692885083967e+01,-2.064592101751e+01,1.579530424942e+02,-1.683859147554e+01,-2.073403631698e+01,1.658122282524e+02,9.025936412634e-02,-8.811529946989e-02,7.859185758172e+00
"                 107",-1.673754933548e+01,-2.031865073026e+01,1.580400949044e+02,-1.664537379402e+01,-2.040526301158e+01,1.659166600375e+02,9.217554146279e-02,-8.661228131946e-02,7.876565133048e+00
"                 108",-1.656354581945e+01,-2.002535254418e+01,1.581235545840e+02,-1.646919977009e+01,-2.011081909012e+01,1.660179475764e+02,9.434604936225e-02,-8.546654594027e-02,7.894392992395e+00
"                 109",-1.646648910662e+01,-1.972932782229e+01,1.581939799388e+02,-1.637024241879e+01,-1.981408896902e+01,1.661056624220e+02,9.624668783108e-02,-8.476114672791e-02,7.911682483215e+00
"                 110",-1.639132023979e+01,-1.958354852167e+01,1.582612367756e+02,-1.629312521411e+01,-1.966776967378e+01,1.661902998195e+02,9.819502567985e-02,-8.422115211012e-02,7.929063043848e+00
"                 111",-1.632549415313e+01,-1.949832496928e+01,1.583386071479e+02,-1.622565664805e+01,-1.958222108964e+01,1.662848525181e+02,9.983750508007e-02,-8.389612035673e-02,7.946245370155e+00
"                 112",-1.624826819442e+01,-1.944784782480e+01,1.584145319889e+02,-1.614673350523e+01,-1.953144108108e+01,1.663771928161e+02,1.015346891932e-01,-8.359325627858e-02,7.962660827242e+00
"                 113",-1.618558618409e+01,-1.921417018808e+01,1.584842310849e+02,-1.608294503803e+01,-1.929767138084e+01,1.664623955949e+02,1.026411460612e-01,-8.350119275658e-02,7.978164510004e+00
"                 114",-1.623101442516e+01,-1.898364238334e+01,1.585527839520e+02,-1.612703760399e+01,-1.906696711554e+01,1.665460134412e+02,1.039768211622e-01,-8.332473219389e-02,7.993229489107e+00
"                 115",-1.627054189571e+01,-1.882600909452e+01,1.586204152279e+02,-1.616582118535e+01,-1.890926865548e+01,1.666281207087e+02,1.047207103585e-01,-8.325956095775e-02,8.007705480808e+00
"                 116",-1.618985620025e+01,-1.862185800924e+01,1.586867817446e+02,-1.608424197651e+01,-1.870509325313e+01,1.667087655010e+02,1.056142237385e-01,-8.323524389433e-02,8.021983756401e+00
"                 117",-1.585349188630e+01,-1.831395423052e+01,1.587460417122e+02,-1.574771152266e+01,-1.839712262476e+01,1.667820806499e+02,1.057803636338e-01,-8.316839423649e-02,8.036038937735e+00
"                 118",-1.563946893946e+01,-1.802951229666e+01,1.588003981764e+02,-1.553327612662e+01,-1.811238825477e+01,1.668505653225e+02,1.061928128315e-01,-8.287595811412e-02,8.050167146117e+00
"                 119",-1.564662225268e+01,-1.771359981410e+01,1.588410710554e+02,-1.554087610336e+01,-1.779614545825e+01,1.669052667818e+02,1.057461493260e-01,-8.254564414436e-02,8.064195726374e+00
"                 120",-1.579527963808e+01,-1.767507431705e+01,1.588945520449e+02,-1.568993120342e+01,-1.775694607847e+01,1.669729325835e+02,1.053484346669e-01,-8.187176142153e-02,8.078380538677e+00
"                 121",-1.590137679223e+01,-1.784267777240e+01,1.589611988399e+02,-1.579766435573e+01,-1.792411481005e+01,1.670537027834e+02,1.037124365017e-01,-8.143703764997e-02,8.092503943508e+00
"                 122",-1.586508017676e+01,-1.793606874671e+01,1.590353440105e+02,-1.576287037669e+01,-1.801681574340e+01,1.671419283408e+02,1.022098000612e-01,-8.074699669309e-02,8.106584330316e+00
"                 123",-1.569588645941e+01,-1.779069449158e+01,1.590934590435e+02,-1.559610510305e+01,-1.787092213735e+01,1.672141785335e+02,9.978135635986e-02,-8.022764576397e-02,8.120719490050e+00
"                 124",-1.562260743697e+01,-1.768823953721e+01,1.591386570905e+02,-1.552497464249e+01,-1.776748508676e+01,1.672733128512e+02,9.763279447615e-02,-7.924554954566e-02,8.134655760753e+00
"                 125",-1.575113029767e+01,-1.753051818490e+01,1.591802215945e+02,-1.565656878014e+01,-1.760881689417e+01,1.673281171442e+02,9.456151752917e-02,-7.829870926729e-02,8.147895549682e+00
"                 126",-1.595978319048e+01,-1.744595427194e+01,1.592323676810e+02,-1.586774637567e+01,-1.752284248323e+01,1.673922679398e+02,9.203681480569e-02,-7.688821129235e-02,8.159900258894e+00
"                 127",-1.610443399875e+01,-1.745387087913e+01,1.592973391740e+02,-1.601561921548e+01,-1.752957475144e+01,1.674685038492e+02,8.881478327111e-02,-7.570387230527e-02,8.171164675235e+00
"                 128",-1.605203647115e+01,-1.750571093383e+01,1.593643247615e+02,-1.596584104726e+01,-1.757981075569e+01,1.675457443781e+02,8.619542388104e-02,-7.409982186921e-02,8.181419616574e+00
